Quel est le pays où se trouve la Tour Eiffel ?,L'Angleterre,La France,L'Espagne,Les États-Unis,B
Quel est le continent où se trouve l'Antarctique ?,L'Europe,L'Afrique,L'Asie,L'Antarctique,D
Quelle est la capitale de l'Espagne ?,Paris,Londres,Madrid,Berlin,C
Dans quel pays se trouve la Grande Muraille ?,Le Japon,La Chine,Le Brésil,La Russie,B
Quel est l'océan près duquel se trouve la plage de Copacabana ?,L'océan Atlantique,L'océan Pacifique,L'océan Indien,L'océan Arctique,A
Quel est le nom du plus grand désert chaud du monde ?,Le Sahara,Le désert d'Atacama,Le désert de Gobi,Le désert du Kalahari,A
Dans quel pays se trouve le Mont Fuji ?,La Chine,Le Japon,La Corée du Sud,Le Vietnam,B
Quel est le plus grand océan du monde ?,L'océan Atlantique,L'océan Pacifique,L'océan Indien,L'océan Arctique,B
Dans quel pays se trouve la ville de Rio de Janeiro ?,Le Brésil,Le Mexique,L'Argentine,L'Espagne,A
Quel est le nom du fleuve qui traverse Paris ?,La Seine,La Loire,Le Rhône,La Garonne,A
