Qui est le premier roi de la renaissance ?,Henri IV,François 1er,Napoléon 1er,X,B
Qui a signé l'édit de Nantes ?,Henri IV,Louis XVI,Napoléon 1er,X,A
Quel roi a été guillotiné en 1793 ?,Louis XVI,Louis XIV,Napoléon 1er,X,A
Où est né Napoléon 1er ?,Paris,Corse,Marseille,X,B
Quel roi est mort à Versailles ?,Louis XVI,Henri IV,Louis XIV,X,C
Quel roi avait tous les pouvoirs ?,Louis XIV,François 1er,Henri IV,X,A
En quelle année s'est-il fait couronner empereur Napoléon ?,En 1802,En 1803,En 1804,X,C
En quelle année est mort Napoléon 1er ?,1810,1813,1821,X,D
Où est mort Napolén 1er ?,En Russie,Sur l'île de Sainte-Hélène,En Corse,X,B
Quel était le nom entier de Napoléon 1er ?,Napoléon Bonali,Napoléon Bonapali,Napoléon Bonaparte,X,C
