Quelle ville française ne se situe pas au nord ?,Calais,Bordeaux,Reims,X,B
Quelle ville française ne se situe pas au sud ?,Orléans,Marseille,Tolouse,X,A
Quel océan est situé au sud-ouest de la France ?,La mer Méditerranée,L'océan Atlantique,L'océan Pacifique,X,B
Trouvez l'intrus :,Massif central,Mont Blanc,Jura,Vosges,B
Le secteur secondaire est :,l'ensemble des producteurs de céréales,les magasins qui vendent des objets aux touristes,l'ensemble des entreprises qui s'occupent de la transformation de la matière première,X,C
Dans quel pays se trouve la ville de Berlin ?,Norvège,Suède,Allemagne,Belgique,C
À quel polygone compare-t-on la forme de la France ?,un pentagone,un hexagone,un triangle,un carré,B
Lequel de ces pays se situe en Afrique ?,Le Pérou,Le Canada,Le Cameroun,La Mongolie,C
Quelle est la capitale de la Slovaquie ?,Helsinki,Pérou,Bratislava,Copenhague,C
Quel est le pays qui a pour capitale Vilnius ?,Budapest,Rome,Lituanie,X,C
