Quand commença la Préhistoire ?,3 000 000 d'années avant J.C.,4 000 000 d'années avant J.C.,X,X,A
Quand l'Antiquité débuta-t-elle ?,3 500 avant J.C.,476,X,X,A
Quand le Moyen Âge se termina-t-il ?,1497,1492,X,X,B
Quand débutèrent les temps modernes ?,1492,1789,X,X,A
Quels étaient les produits échangés au nord de l'Europe au Moyen Âge ?,Bois - hareng - blé - drap - vin,Céréales - bois - fromage,X,X,A
Pourquoi a-t-on créé les villes au Moyen Âge ?,Pour se protéger,Pour se nourrir,X,X,A
Qui a été le premier président des États-Unis ?,Abraham Lincoln,Thomas Jefferson,George Washington,John Adams,C
Quel est le nom de l'explorateur portugais qui a contourné le cap de Bonne-Espérance en 1488 ?,Ferdinand Magellan,Vasco de Gama,Christophe Colomb,Hernán Cortés,B
Qui a découvert l'Amérique en 1492 ?,Christophe Colomb,Marco Polo,Vasco de Gama,Magellan,A
Quel était le nom de l'ancienne capitale du Japon ?,Tokyo,Kyoto,Hiroshima,Osaka,B
