Choisis le bon mot homonyme pour cette phrase : « J’utilise de la… pour ce travail ».,colle,khôl,col,X,A
valise – avion – lointain – table – croisière – route. Dans cette liste de mots « lointain » est un intrus ?,Vrai,Faux,X,X,B
Lequel de ces mots est du genre féminin ?,Pétale,Vison,Geôle,Chenet,C
Quel est le verbe pour le mot 'plant' ?,Planter,Plantiner,Planquer,X,A
Que signifie le mot 'mousse' dans cette phrase 'La mousse pousse au pied des arbres' ?,C'est un dessert,C'est une plante,C'est un jeune matelot,C'est des bulles de savon,B
Un mot de cette liste n'est pas un synonyme des autres. Lequel est-ce ?,Avaler,Manger,Engouffrer,Parler,D
Quel préfixe utilise-t-on pour dire le contraire du mot 'content' ?,A,Mal,In,Mé,D
Trouvez le bon homonyme pour 'outil pour couper du bois ou du métal' ?,Si,Six,Scie,X,C
Le nom qui provient du verbe 'passer' c'est,passation,passage,passement,X,B
On dit :,une platée de pâtes,une pâtée de pâtes,une plâtrée de pâtes,X,A
