Lequel de ces océans n'existe pas ?,Atlantique,Indien,Chinois,Antarctique,C
Quelle est la capitale de la France?,Paris,Lyon,Marseille,X,A
Quel est le plus grand océan du monde?,Océan Atlantique,Océan Indien,Océan Pacifique,X,C
Quel est le continent où se trouve l'Égypte?,Afrique,Europe,Asie,X,A
Quel est le plus grand pays du monde?,Russie,Chine,Canada,X,A
Quel est le nom du plus haut sommet du monde?,Mont Everest,Mont Kilimandjaro,Mont Blanc,X,A
Quelle est la monnaie utilisée au Japon?,Yen,Dollar,Euro,X,A
Quelle est la langue parlée en Espagne?,Espagnol,Anglais,Français,X,A
Quel est le plus long fleuve du monde?,Fleuve Amazone,Fleuve Nil,Fleuve Congo,X,A
Quel est le nom du désert le plus grand du monde?,Désert du Sahara,Désert de Gobi,Désert d'Atacama,X,A
Quel est le nom de la plus grande île du monde?,Groenland,Île de Bornéo,Île de Madagascar,X,A
